Rank,Country,Prize_Money,Players
1,Sweden,2880823.8,402 Players
2,Germany,1513707.65,400 Players
3,United States,1494285.27,473 Players
4,Russian Federation,1132587.16,442 Players
5,Denmark,1035882.09,205 Players
6,China,861123.19,274 Players
7,Poland,762327.23,92 Players
8,Ukraine,719584.97,280 Players
9,Norway,452829.85,127 Players
10,France,412626.42,241 Players
11,Finland,408115.69,121 Players
12,Brazil,382444.8,118 Players
13,"Korea, Republic of",348212.86,77 Players
14,Canada,238896.66,103 Players
15,Austria,162732.91,31 Players
16,Spain,141220.06,106 Players
17,Kazakhstan,82757.7,71 Players
18,United Kingdom,56149.01,31 Players
19,Portugal,35924.45,79 Players
20,Singapore,31912.68,23 Players
21,Turkey,30686.33,24 Players
22,Bulgaria,29022.91,61 Players
23,Romania,25883.58,49 Players
24,Bosnia and Herzegovina,25478.64,2 Players
25,Netherlands,19829.05,34 Players
26,Australia,19011.76,25 Players
27,Hungary,17623.81,24 Players
28,Argentina,15753.45,34 Players
29,"Taiwan, Republic of China",13893.1,22 Players
30,Japan,10983.9,10 Players
31,Belarus,9276.18,44 Players
32,Belgium,7627.73,19 Players
33,Czech Republic,7447.14,27 Players
34,Estonia,6652.25,18 Players
35,Malaysia,6139.0,11 Players
36,Slovakia,5574.85,26 Players
37,Serbia,5490.56,34 Players
38,Chile,4948.35,20 Players
39,Peru,4750.0,8 Players
40,North Macedonia,4732.64,8 Players
41,Thailand,4308.61,1 Player
42,Indonesia,3953.25,8 Players
43,Iceland,3887.69,7 Players
44,United Arab Emirates,3603.0,11 Players
45,Hong Kong,3580.45,17 Players
46,Latvia,3406.75,31 Players
47,Uzbekistan,3058.3,7 Players
48,Italy,3016.18,18 Players
49,India,2036.0,6 Players
50,Greece,1941.3,15 Players
51,Viet Nam,1917.6,1 Player
52,Switzerland,1579.25,3 Players
53,Pakistan,1563.0,7 Players
54,Israel,1062.2,5 Players
55,Lithuania,716.5,5 Players
56,Ecuador,530.36,1 Player
57,"Iran, Islamic Republic of",508.96,2 Players
58,Ireland,306.14,2 Players
59,Algeria,222.27,1 Player
60,Venezuela,145.48,1 Player
61,Philippines,100.0,1 Player
62,"Moldova, Republic of",98.0,5 Players
63,Jamaica,83.33,1 Player
64,Egypt,77.98,1 Player
