Date,Rank,Team,Points,Region
2025/4/1,1,Team Vitality,1000,EU
2025/4/1,2,G2 Esports,562,EU
2025/4/1,3,FaZe Clan,530,EU
2025/4/1,4,Team Spirit,403,CIS
2025/4/1,5,MOUZ,363,EU
2025/4/1,6,Natus Vincere,348,EU
2025/4/1,7,Astralis,335,EU
2025/4/1,8,Virtus.pro,286,CIS
2025/4/1,9,Cloud9,203,CIS
2025/4/1,10,Eternal Fire,164,EU
2025/4/1,11,Heroic,163,EU
2025/4/1,12,FURIA Esports,163,SA
2025/4/1,13,Team Liquid,127,NA
2025/4/1,14,The MongolZ,114,Asia
2025/4/1,15,SAW,79,EU
2025/4/1,16,GamerLegion,63,EU
2025/4/1,17,FlyQuest,61,OCE
2025/4/1,18,Complexity,58,NA
2025/4/1,19,BetBoom Team,51,CIS
2025/4/1,20,Imperial Esports,50,SA
