Team,Region,Maps,Rounds,UD,Flash_Assists,Time_Flashed
FaZe Clan,EU,65,1369,28.0,0.28,2.45
G2 Esports,EU,58,1251,25.1,0.24,2.15
Natus Vincere,EU,72,1513,26.6,0.25,2.50
Team Vitality,EU,54,1167,24.3,0.28,2.22
Virtus.pro,CIS,71,1629,23.0,0.24,1.83
MOUZ,EU,43,910,23.8,0.25,2.47
Team Spirit,CIS,45,947,21.0,0.27,2.44
Complexity,NA,58,1262,24.7,0.25,2.27
Astralis,EU,74,1544,24.0,0.26,2.48
Eternal Fire,EU,78,1697,25.0,0.23,2.37
FlyQuest,OCE,41,951,21.5,0.21,2.31
Rooster,OCE,75,1555,21.6,0.23,2.19
Mindfreak,OCE,42,938,19.3,0.17,2.21
Vantage,OCE,48,1025,18.6,0.23,1.84
Mantra,OCE,42,886,16.6,0.18,1.63
DGG,OCE,14,335,19.5,0.21,1.63
Corvidae,OCE,51,1045,18.7,0.21,1.69
RKON,OCE,44,924,16.7,0.23,2.05
DXA,OCE,45,930,19.3,0.19,2.10
The Art of War,OCE,15,323,16.5,0.22,1.86
